date,steps,distance_km,active_energy_kcal,resting_energy_kcal,exercise_min,stand_hours,flights_climbed,hr_mean_bpm,hr_min_bpm,hr_max_bpm,hr_samples,hrv_ms,resp_rate,resting_hr_bpm,walking_speed_kmh,walking_step_length_cm,stand_min,steps_xml_rawsum,distance_km_xml_rawsum,hrv_ms_missing,resp_rate_missing,resting_hr_bpm_missing,walking_speed_kmh_missing,walking_step_length_cm_missing,stand_min_missing
2026-01-23,7049.0,5.19,365.4397705544933,1958.8910133843212,14.0,7.0,20.0,94.05,69.0,155.0,169.0,54.75,,75.0,4.12,65.05,101.0,12791.0,9.722303770000002,0,1,0,0,0,0
2026-01-24,4110.0,2.97,207.08173996175907,1824.0917782026768,6.0,6.0,1.0,92.03,58.0,133.0,173.0,35.28,,79.0,4.37,67.19,48.0,6621.0,4.85503825,0,1,0,0,0,0
2026-01-25,600.0,0.449,,,,,0.0,,,,0.0,,,,4.29,63.4,0.0,600.0,0.448731,1,1,1,0,0,0
2026-01-26,4146.0,3.16,141.6921606118547,527.246653919694,13.0,3.0,0.0,108.62,85.0,137.0,199.0,27.75,,90.0,4.78,72.47,30.0,7110.0,5.56031982,0,1,0,0,0,0
2026-01-27,4668.0,3.54,181.2260994263862,1881.9311663479923,16.0,3.0,0.0,107.2,74.0,175.0,219.0,23.83,,84.0,4.29,64.62,43.0,7796.0,5.699505853000002,0,1,0,0,0,0
2026-01-28,11415.0,8.47,497.848948374761,2025.095602294455,19.0,10.0,11.0,87.87,54.0,145.0,385.0,53.42,15.83,67.0,4.03,66.44,123.0,18965.0,13.678846716999997,0,0,0,0,0,0
2026-01-29,11950.0,8.64,481.5965583173996,1964.627151051625,26.0,9.0,17.0,89.32,68.0,130.0,462.0,40.56,15.67,70.0,4.24,67.26,103.0,18761.0,13.966584209999997,0,0,0,0,0,0
2026-01-30,1223.0,0.898,48.49904397705544,1668.4990439770554,1.0,1.0,0.0,97.48,79.0,123.0,11.0,48.05,,,4.74,69.67,16.0,2640.0,2.0542204,0,1,1,0,0,0
2026-01-31,3545.0,2.72,175.69311663479922,1905.831739961759,8.0,6.0,2.0,105.78,64.0,156.0,136.0,15.57,,87.0,4.67,76.82,42.0,6172.0,4.9475279599999995,0,1,0,0,0,0
2026-02-01,2575.0,1.88,237.13432122370935,1978.7284894837476,4.0,7.0,2.0,86.3,52.0,152.0,190.0,47.72,15.5,67.0,3.99,62.0,39.0,4116.0,2.9346591600000003,0,0,0,0,0,0
2026-02-02,436.67,0.325,77.03154875717017,1848.7093690248564,11.0,1.0,6.0,99.26,72.0,135.0,159.0,,,,2.88,46.0,7.0,887.0,0.615044554,1,1,1,0,0,0
